Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
BELGIO;EUROPA COMUNITARIA;55;54;109;22;33;55;8;11;19;1;6;7;7;11;18;3;6;9;11;25;36;10;26;36;12;21;33;30;40;70;9;9;18;10;13;23;24;14;38;13;12;25;30;37;67;0;0;0;245;318;563
SUDAN;AFRICA;278;19;297;8;2;10;18;10;28;78;7;85;33;7;40;13;2;15;23;3;26;2;2;4;5;4;9;2;0;2;1;1;2;3;1;4;7;2;9;4;6;10;14;7;21;0;0;0;489;73;562
LIBIA;AFRICA;48;18;66;44;30;74;101;96;197;15;6;21;10;5;15;22;13;35;8;3;11;6;5;11;8;4;12;9;7;16;14;6;20;6;11;17;6;6;12;14;5;19;20;8;28;0;0;0;331;223;554
VENEZUELA;AMERICA DEL SUD;33;23;56;9;19;28;14;13;27;9;17;26;11;23;34;10;20;30;23;35;58;9;23;32;5;18;23;12;30;42;9;16;25;10;23;33;20;29;49;6;16;22;17;25;42;0;0;0;197;330;527
IRLANDA;EUROPA COMUNITARIA;105;59;164;20;26;46;3;11;14;4;5;9;10;5;15;2;0;2;15;15;30;10;19;29;6;13;19;15;21;36;10;8;18;23;30;53;20;19;39;9;10;19;12;16;28;0;0;0;264;257;521
INDONESIA;ASIA;46;36;82;14;33;47;12;24;36;3;8;11;13;9;22;4;7;11;1;72;73;8;19;27;2;5;7;3;13;16;0;3;3;9;15;24;8;19;27;3;24;27;19;57;76;0;2;2;145;346;491
AUSTRIA;EUROPA COMUNITARIA;24;51;75;17;43;60;3;16;19;3;14;17;7;20;27;4;15;19;9;24;33;12;10;22;7;14;21;5;30;35;1;9;10;14;34;48;16;25;41;3;24;27;11;18;29;0;0;0;136;347;483
REP.DI SERBIA;EUROPA NON COMUNITARIA;21;26;47;5;13;18;6;19;25;22;28;50;33;28;61;66;55;121;9;24;33;1;5;6;10;11;21;2;6;8;5;5;10;4;5;9;4;12;16;4;17;21;9;9;18;3;1;4;204;264;468
REP. DI COREA;ASIA;45;37;82;6;18;24;6;9;15;15;23;38;7;7;14;14;13;27;29;45;74;9;3;12;12;16;28;4;8;12;2;5;7;27;16;43;15;23;38;2;6;8;12;22;34;0;0;0;205;251;456
LIBANO;ASIA;132;22;154;14;15;29;10;3;13;23;17;40;20;6;26;14;2;16;16;14;30;10;9;19;16;10;26;0;0;0;29;1;30;8;11;19;10;6;16;8;8;16;4;6;10;3;0;3;317;130;447
BURKINA FASO;AFRICA;197;56;253;14;8;22;2;15;17;2;0;2;6;7;13;31;9;40;2;1;3;5;1;6;0;1;1;4;2;6;4;2;6;6;3;9;7;4;11;2;2;4;30;12;42;0;0;0;312;123;435
SVIZZERA;EUROPA NON COMUNITARIA;51;49;100;31;39;70;4;5;9;3;8;11;13;8;21;3;4;7;15;14;29;1;10;11;10;12;22;11;15;26;2;5;7;17;25;42;10;12;22;4;10;14;15;15;30;1;0;1;191;231;422
CILE;AMERICA DEL SUD;30;33;63;11;36;47;3;8;11;6;8;14;5;8;13;7;8;15;3;9;12;10;5;15;10;5;15;35;32;67;4;7;11;6;10;16;21;16;37;5;12;17;15;26;41;0;0;0;171;223;394
KENYA;AFRICA;26;43;69;3;11;14;4;12;16;1;11;12;8;9;17;4;18;22;4;14;18;13;11;24;11;16;27;15;29;44;0;5;5;15;9;24;8;6;14;3;19;22;12;49;61;0;0;0;127;262;389
MADAGASCAR;AFRICA;16;28;44;4;6;10;2;8;10;2;4;6;2;20;22;3;7;10;5;28;33;6;11;17;9;6;15;5;15;20;3;5;8;3;18;21;17;44;61;8;22;30;32;38;70;0;0;0;117;260;377
SVEZIA;EUROPA COMUNITARIA;16;51;67;15;32;47;7;18;25;2;5;7;0;18;18;7;9;16;10;18;28;3;13;16;4;14;18;5;29;34;0;7;7;3;23;26;4;8;12;4;4;8;14;26;40;0;0;0;94;275;369
HONDURAS;AMERICA CENTRALE;10;36;46;10;55;65;8;26;34;6;8;14;9;22;31;11;20;31;13;27;40;5;8;13;2;5;7;1;6;7;0;4;4;3;14;17;3;6;9;3;10;13;3;34;37;0;0;0;87;281;368
GAMBIA;AFRICA;294;5;299;1;0;1;3;0;3;4;0;4;4;1;5;32;1;33;1;0;1;1;2;3;0;0;0;1;0;1;0;0;0;0;0;0;4;0;4;0;0;0;1;0;1;0;0;0;346;9;355
THAILANDIA;ASIA;3;31;34;11;29;40;2;19;21;5;12;17;5;18;23;0;21;21;3;28;31;2;15;17;1;11;12;6;28;34;1;23;24;0;15;15;4;14;18;1;16;17;3;19;22;0;0;0;47;299;346
TOGO;AFRICA;146;44;190;4;8;12;3;3;6;0;2;2;2;5;7;46;16;62;8;4;12;3;1;4;2;5;7;0;3;3;1;1;2;5;5;10;9;9;18;2;3;5;4;2;6;0;0;0;235;111;346
ISRAELE;ASIA;17;17;34;33;42;75;13;6;19;12;4;16;13;3;16;5;3;8;18;16;34;6;5;11;3;2;5;4;2;6;7;11;18;10;5;15;7;5;12;6;10;16;13;23;36;1;0;1;168;154;322
UNGHERIA;EUROPA COMUNITARIA;27;18;45;3;15;18;4;12;16;4;7;11;5;12;17;6;22;28;2;23;25;4;11;15;3;18;21;4;22;26;0;16;16;8;11;19;3;12;15;3;20;23;7;15;22;0;0;0;83;234;317
REP. DEL CONGO;AFRICA;68;66;134;2;6;8;9;6;15;7;4;11;10;4;14;19;14;33;11;6;17;6;0;6;6;3;9;1;6;7;9;9;18;3;4;7;2;6;8;8;14;22;2;3;5;0;0;0;163;151;314
SLOVACCHIA;EUROPA COMUNITARIA;29;20;49;9;27;36;9;11;20;1;7;8;2;8;10;6;15;21;8;16;24;3;10;13;1;8;9;1;16;17;5;6;11;6;14;20;2;17;19;4;24;28;2;20;22;0;0;0;88;219;307
NEPAL;ASIA;38;9;47;7;3;10;3;2;5;9;3;12;72;30;102;13;5;18;12;10;22;11;5;16;9;4;13;19;16;35;1;0;1;1;0;1;1;0;1;2;3;5;8;7;15;0;0;0;206;97;303
CANADA';AMERICA DEL NORD;34;20;54;8;19;27;6;5;11;2;4;6;5;2;7;5;2;7;5;9;14;12;17;29;9;6;15;13;14;27;5;3;8;6;14;20;9;5;14;7;7;14;16;21;37;2;0;2;144;148;292
